date,start time,Task,Label,Duration (s)
2020/04/17,08:57:43,,Other,15
2020/04/17,08:57:59,,Other,3
2020/04/17,08:58:02,,Other,0
2020/04/17,08:58:03,,Other,0
2020/04/17,08:58:03,,Other,0
2020/04/17,08:58:04,,Other,0
2020/04/17,08:58:05,,Other,1
2020/04/17,08:54:45,Task timer fix break,Coding study,311
2020/04/17,09:01:55,Fix task timer,Coding study,217
2020/04/17,09:39:33,Cuomo press conference,News,366
2020/04/17,09:50:42,Alison zoom test,Lab business,1500
2020/04/17,10:15:44,Alison zoom test,Lab business,74
2020/04/17,10:17:15,Think of derivation implementation,Flex pendulum,1500
2020/04/17,10:42:16,Think of derivation implementation,Flex pendulum,42
2020/04/17,10:44:15,Think of derivation implementation,Flex pendulum,978
2020/04/17,11:00:44,Meeting Michelle,Lab business,1500
2020/04/17,11:25:45,Meeting Michelle,Lab business,334
2020/04/17,11:45:46,mathematica derivations,Flex pendulum,1500
2020/04/17,12:10:47,mathematica derivations,Flex pendulum,1500
2020/04/17,12:35:48,mathematica derivations,Flex pendulum,1500
2020/04/17,13:00:49,mathematica derivations,Flex pendulum,1500
2020/04/17,13:25:50,mathematica derivations,Flex pendulum,492
2020/04/17,13:46:00,mathematica derivations,Flex pendulum,1500
2020/04/17,14:11:00,mathematica derivations,Flex pendulum,1471
2020/04/17,14:39:15,Brunton meeting,Lab business,1500
2020/04/17,15:04:16,Brunton meeting,Lab business,1414
2020/04/17,15:27:59,Daniel lab meeting ,Lab business,1500
2020/04/17,15:52:59,Daniel lab meeting ,Lab business,1500
2020/04/17,16:18:01,Daniel lab meeting ,Lab business,1042
2020/04/17,16:52:00,mathematica derivations,Flex pendulum,1500
2020/04/17,17:24:01,flex pend writedown,Flex pendulum,1103
2020/04/19,17:22:11,1231,Other,155
2020/04/19,17:47:28,,Other,2
2020/04/19,17:47:31,,Other,2
2020/04/19,17:47:34,,Other,1
2020/04/19,17:47:36,,Other,0
2020/04/19,17:55:32,,Other,2
2020/04/19,17:55:35,,Other,2
2020/04/19,18:00:24,,Other,2
2020/04/19,18:00:26,,Other,2
2020/04/19,18:04:46,,Other,2
2020/04/19,18:04:50,,Other,1
2020/04/19,18:13:12,,Other,2
2020/04/19,18:13:16,,Other,1
2020/04/19,18:13:18,,Other,2
2020/04/19,18:13:21,,Other,0
2020/04/19,18:13:22,,Other,0
2020/04/19,18:13:23,,Other,0
2020/04/19,18:20:16,,Other,2
2020/04/19,18:20:22,,Other,1
